unique_id,track_id,veh_type,traveled_distance,avg_speed
20181024_d1_0830_0900_159,160,Car,234.85,14.330118
20181024_d1_0830_0900_160,161,Motorcycle,478.14,40.59664
20181024_d1_0830_0900_161,162,Car,480.27,35.722495
20181024_d1_0830_0900_162,163,Taxi,235.03,13.220288
20181024_d1_0830_0900_163,164,Taxi,480.79,19.062308
20181024_d1_0830_0900_164,165,Car,480.46,31.795231
20181024_d1_0830_0900_165,166,Car,54.43,23.898108
20181024_d1_0830_0900_166,167,Car,480.26,34.033826
20181024_d1_0830_0900_167,168,Car,480.54,29.929526
20181024_d1_0830_0900_168,169,Car,227.73,22.277888
20181024_d1_0830_0900_169,170,Motorcycle,103.13,15.091528
20181024_d1_0830_0900_170,171,Motorcycle,383.78,28.311304
20181024_d1_0830_0900_171,172,Car,481.73,34.82386
20181024_d1_0830_0900_172,173,Taxi,72.2,3.777659
20181024_d1_0830_0900_173,174,Bus,480.2,14.334387
20181024_d1_0830_0900_174,175,Motorcycle,478.49,40.436057
20181024_d1_0830_0900_175,176,Heavy Vehicle,479.19,18.430534
20181024_d1_0830_0900_176,177,Car,197.71,14.011236
20181024_d1_0830_0900_177,178,Motorcycle,394.05,40.300326
20181024_d1_0830_0900_178,179,Car,480.32,36.947951
20181024_d1_0830_0900_179,180,Car,480.62,35.748661
20181024_d1_0830_0900_180,181,Motorcycle,480.71,44.601624
20181024_d1_0830_0900_181,182,Motorcycle,486.16,23.028722
20181024_d1_0830_0900_182,183,Car,32.11,12.84541
20181024_d1_0830_0900_183,184,Car,478.66,22.975633
20181024_d1_0830_0900_184,185,Motorcycle,487.23,20.684375
20181024_d1_0830_0900_185,186,Car,477.7,25.744193
20181024_d1_0830_0900_186,187,Car,34.3,12.346529
20181024_d1_0830_0900_187,188,Taxi,261.91,19.643018
20181024_d1_0830_0900_188,189,Car,93.48,21.572758
20181024_d1_0830_0900_189,190,Motorcycle,56.88,15.05652
20181024_d1_0830_0900_190,191,Car,105.45,11.716569
20181024_d1_0830_0900_191,192,Car,27.26,8.92056
20181024_d1_0830_0900_192,193,Car,199.45,13.807814
20181024_d1_0830_0900_193,194,Taxi,225.35,14.435345
20181024_d1_0830_0900_194,195,Taxi,358.31,5.743177
20181024_d1_0830_0900_195,196,Motorcycle,481.59,33.469879
20181024_d1_0830_0900_196,197,Car,235.61,31.648758
20181024_d1_0830_0900_197,198,Bus,140.38,15.502507
20181024_d1_0830_0900_198,199,Car,211.82,13.37793
20181024_d1_0830_0900_199,200,Motorcycle,352.16,15.092596
20181024_d1_0830_0900_200,201,Car,487.56,30.578418
20181024_d1_0830_0900_201,202,Car,481.52,34.808553
20181024_d1_0830_0900_202,203,Motorcycle,175.75,10.406261
20181024_d1_0830_0900_203,204,Taxi,104.8,19.856184
20181024_d1_0830_0900_204,205,Motorcycle,349.92,14.996362
20181024_d1_0830_0900_205,206,Motorcycle,28.03,9.891223
20181024_d1_0830_0900_206,207,Motorcycle,214.0,14.05811
20181024_d1_0830_0900_207,208,Motorcycle,480.74,48.07366
20181024_d1_0830_0900_208,209,Motorcycle,194.49,12.918358
20181024_d1_0830_0900_209,210,Motorcycle,215.19,14.13631
20181024_d1_0830_0900_210,211,Car,28.34,3.750962
20181024_d1_0830_0900_211,212,Motorcycle,357.91,15.790244
20181024_d1_0830_0900_212,213,Car,227.98,24.572722
20181024_d1_0830_0900_213,214,Taxi,92.83,22.279832
20181024_d1_0830_0900_214,215,Car,482.92,20.309717
20181024_d1_0830_0900_215,216,Medium Vehicle,236.59,11.090101
20181024_d1_0830_0900_216,217,Car,482.7,37.776566
20181024_d1_0830_0900_217,218,Car,18.62,0.09677
20181024_d1_0830_0900_218,219,Taxi,222.67,14.627971
20181024_d1_0830_0900_219,220,Motorcycle,481.21,50.951537
20181024_d1_0830_0900_220,221,Motorcycle,480.96,40.079767
20181024_d1_0830_0900_221,222,Medium Vehicle,105.52,19.185478
20181024_d1_0830_0900_222,223,Heavy Vehicle,481.74,2.507635
20181024_d1_0830_0900_223,224,Car,223.58,14.581484
20181024_d1_0830_0900_224,225,Taxi,480.33,24.083196
20181024_d1_0830_0900_225,226,Motorcycle,149.79,36.435828
20181024_d1_0830_0900_226,227,Car,235.43,32.598103
20181024_d1_0830_0900_227,228,Car,197.28,18.210205
20181024_d1_0830_0900_228,229,Motorcycle,55.36,19.162203
20181024_d1_0830_0900_229,230,Motorcycle,433.83,20.282799
20181024_d1_0830_0900_230,231,Car,347.72,14.937735
20181024_d1_0830_0900_231,232,Car,481.27,21.284879
20181024_d1_0830_0900_232,233,Car,480.66,20.214535
20181024_d1_0830_0900_233,234,Car,461.87,3.843576
20181024_d1_0830_0900_234,235,Car,102.44,20.043382
20181024_d1_0830_0900_235,236,Car,482.49,20.244247
20181024_d1_0830_0900_236,237,Car,211.29,13.779575
20181024_d1_0830_0900_237,238,Motorcycle,343.75,13.749898
20181024_d1_0830_0900_238,239,Motorcycle,488.19,42.657813
20181024_d1_0830_0900_239,240,Car,360.16,15.435314
20181024_d1_0830_0900_240,241,Car,28.53,14.26636
20181024_d1_0830_0900_241,242,Taxi,480.45,19.654934
20181024_d1_0830_0900_242,243,Car,27.04,15.701965
20181024_d1_0830_0900_243,244,Car,19.14,0.101884
20181024_d1_0830_0900_244,245,Medium Vehicle,256.94,11.171377
20181024_d1_0830_0900_245,246,Car,172.4,19.155583
20181024_d1_0830_0900_246,247,Motorcycle,51.08,28.732618
20181024_d1_0830_0900_247,248,Motorcycle,481.24,40.860291
20181024_d1_0830_0900_248,249,Car,53.34,21.820931
20181024_d1_0830_0900_249,250,Motorcycle,125.41,15.252951
20181024_d1_0830_0900_250,251,Taxi,458.55,37.517679
20181024_d1_0830_0900_251,252,Motorcycle,37.54,12.993423
20181024_d1_0830_0900_252,253,Motorcycle,454.48,42.386647
20181024_d1_0830_0900_253,254,Motorcycle,453.86,41.681178
20181024_d1_0830_0900_254,255,Car,480.96,31.254021
20181024_d1_0830_0900_255,256,Heavy Vehicle,482.5,28.569004
20181024_d1_0830_0900_256,257,Car,454.28,38.93863
20181024_d1_0830_0900_257,258,Taxi,454.22,33.101076
20181024_d1_0830_0900_258,259,Motorcycle,489.69,36.57461
20181024_d1_0830_0900_259,260,Car,52.24,28.496744
20181024_d1_0830_0900_260,261,Heavy Vehicle,95.09,12.31368
20181024_d1_0830_0900_261,262,Car,483.21,28.331305
20181024_d1_0830_0900_262,263,Taxi,457.62,33.214697
20181024_d1_0830_0900_263,264,Car,460.09,32.604466
20181024_d1_0830_0900_264,265,Car,485.63,34.965644
20181024_d1_0830_0900_265,266,Car,463.06,31.813042
20181024_d1_0830_0900_266,267,Motorcycle,199.78,22.061939
20181024_d1_0830_0900_267,268,Taxi,102.89,26.458017
20181024_d1_0830_0900_268,269,Car,478.59,37.45476
20181024_d1_0830_0900_269,270,Car,481.36,23.544831
20181024_d1_0830_0900_270,271,Motorcycle,485.61,40.65554
20181024_d1_0830_0900_271,272,Car,284.07,15.448051
20181024_d1_0830_0900_272,273,Car,210.5,16.261862
